id,grade,grade_suffix,coating,finish,surface_type,surface_protection,form,thickness_min,thickness_max,width_min,width_max,length_min,height_min,height_max,weight_min,weight_max,inner_diameter_min,inner_diameter_max,outer_diameter_min,outer_diameter_max,yield_strength_min,yield_strength_max,tensile_strength_min,tensile_strength_max,Grade/Material,UNS_No,Steel_No,Standards,Carbon (C),Manganese (Mn),Silicon (Si),Sulfur (S),Phosphorus (P),Chromium (Cr),Nickel (Ni),Molybdenum (Mo),Vanadium (V),Tungsten (W),Cobalt (Co),Copper (Cu),Aluminum (Al),Titanium (Ti),Niobium (Nb),Boron (B),Nitrogen (N),Tensile strength (Rm),Yield strength (Re or Rp0.2),Elongation (A%),Reduction of area (Z%),"Hardness (HB, HV, HRC)",Impact toughness (Charpy V-notch),Fatigue limit,Creep resistance,Source_Pages,Application,Category,Nb + V + Ti (Others),Coating,length_max,Tensile strength (Rm)_min,Tensile strength (Rm)_max,tensile_mid,Yield strength (Re or Rp0.2)_min,Yield strength (Re or Rp0.2)_max,yield_mid,Elongation (A%)_min,Elongation (A%)_max,elongation_mid,Reduction of area (Z%)_min,Reduction of area (Z%)_max,reduction_mid,"Hardness (HB, HV, HRC)_min","Hardness (HB, HV, HRC)_max",hardness_mid
a0e91fd1-b00b-4ff7-8633-62657662b03b,DX51D,,Z275,Hot-dip Galvanized (+Z/+GI),,,Rectangular Tubes,,,,,,,,,,,,,,,,,,DX51D,,,EN 10346:2015,≤0.12,≤0.60,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,270-500 MPa,≤350 MPa,≥22%,,,,,,Standard Specifications,Galvanized steel for forming,Galvanized Steel,,Hot-dip galvanized,,270.0,500.0,385.0,350.0,350.0,350.0,22.0,22.0,22.0,,,,,,
84be5122-71d5-4a35-a912-fd2911e3c64f,S355MC,,,,,Oiled (O),Coils,4.9,5.1,,1520.0,,,,,25000.0,610.0,610.0,,,,,,,S355MC,,,EN 10149-2:2013,≤0.12,≤1.50,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,430-550 MPa,≥355 MPa,≥22%,,,,,,Standard Specifications,Cold forming microalloyed steel,Microalloyed Steel,,,,430.0,550.0,490.0,355.0,355.0,355.0,22.0,22.0,22.0,,,,,,
0f595b0b-2253-4585-a672-fda592da7191,S355MC,,,Galvanized,,Oiled (O),Coils,4.9,5.1,,1520.0,,,,,25000.0,610.0,610.0,,,,,,,S355MC,,,EN 10149-2:2013,≤0.12,≤1.50,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,430-550 MPa,≥355 MPa,≥22%,,,,,,Standard Specifications,Cold forming microalloyed steel,Microalloyed Steel,,,,430.0,550.0,490.0,355.0,355.0,355.0,22.0,22.0,22.0,,,,,,
920dcf5c-136f-4ffc-9449-03f00c1b5a46,DC01,,ZE25/25,Electro-Galvanized (+ZE),Conventional surface (A),"Phosphated, chemically passivated and oiled (PCO)",Coils,1.0,1.0,1250.0,1300.0,,,,,,,,,,,,,,DC01,,,EN 10130:2006,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤280 MPa,≥28%,,,,,,Standard Specifications,"Cold forming, deep drawing",Cold Rolled Steel,,,,270.0,410.0,340.0,280.0,280.0,280.0,28.0,28.0,28.0,,,,,,
facd942d-02a2-46bf-936c-e3afd39ee20d,S355MC,,,,,,Coils,7.8,8.1,1270.0,,,,,,,,,,,,,,,S355MC,,,EN 10149-2:2013,≤0.12,≤1.50,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,430-550 MPa,≥355 MPa,≥22%,,,,,,Standard Specifications,Cold forming microalloyed steel,Microalloyed Steel,,,,430.0,550.0,490.0,355.0,355.0,355.0,22.0,22.0,22.0,,,,,,
140d30f7-f16d-4455-a448-516ab6616812,S500MC,,,,,,Coils,8.0,8.0,,,,,,,,,,,,,,,,S500MC,,,EN 10149-2:2013,≤0.12,≤1.70,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,550-700 MPa,≥500 MPa,≥14%,,,,,,Standard Specifications,"Cold forming, automotive",Microalloyed Steel,≤0.22,,,550.0,700.0,625.0,500.0,500.0,500.0,14.0,14.0,14.0,,,,,,
178a48ef-f870-46d7-ba3c-c94b35477459,S355MC,,,,,,Coils,7.8,8.1,1270.0,,,,,,,,,,,,,,,S355MC,,,EN 10149-2:2013,≤0.12,≤1.50,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,430-550 MPa,≥355 MPa,≥22%,,,,,,Standard Specifications,Cold forming microalloyed steel,Microalloyed Steel,,,,430.0,550.0,490.0,355.0,355.0,355.0,22.0,22.0,22.0,,,,,,
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,S500MC,,,,,,Coils,8.0,8.0,,,,,,,,,,,,,,,,S500MC,,,EN 10149-2:2013,≤0.12,≤1.70,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,550-700 MPa,≥500 MPa,≥14%,,,,,,Standard Specifications,"Cold forming, automotive",Microalloyed Steel,≤0.22,,,550.0,700.0,625.0,500.0,500.0,500.0,14.0,14.0,14.0,,,,,,
ca60a74b-7cdc-4098-a20c-2de916dcb66b,S235JR,,,Black (S1),,,Coils,1.8,1.8,,,,,,20000.0,20000.0,,,,,,,,,S235JR,,,EN 10025-2:2019,≤0.17,≤1.40,≤0.40,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,360-510 MPa,≥235 MPa,≥26%,,,27J at 20°C,,,Standard Specifications,General structural steels,Structural Steel,,,,360.0,510.0,435.0,235.0,235.0,235.0,26.0,26.0,26.0,,,,,,
df6085e7-42f9-4ce3-92b0-3a7a24159a61,S235JR,,,Black (S1),,,Coils,2.75,2.75,,,,,,80000.0,80000.0,,,,,,,,,S235JR,,,EN 10025-2:2019,≤0.17,≤1.40,≤0.40,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,360-510 MPa,≥235 MPa,≥26%,,,27J at 20°C,,,Standard Specifications,General structural steels,Structural Steel,,,,360.0,510.0,435.0,235.0,235.0,235.0,26.0,26.0,26.0,,,,,,
e46aa804-164c-4907-a7ca-07a99d66d1b6,S220GD,,,SuperVitac (SVA),,,Coils,1.8,1.8,,,,,,120000.0,120000.0,,,,,,,,,S220GD,,,EN 10346:2015,≤0.13,≤0.60,,≤0.045,≤0.100,,,,,,,,≥0.010,,,,,300-480 MPa,≥220 MPa,≥20%,,,,,,Standard Specifications,Structural galvanized steel,Galvanized Steel,,Hot-dip galvanized,,300.0,480.0,390.0,220.0,220.0,220.0,20.0,20.0,20.0,,,,,,
094422ce-696c-482d-9927-c3cfbf347f7a,S220GD,,,SuperVitac (SVA),,,Coils,2.75,2.75,,,,,,100000.0,100000.0,,,,,,,,,S220GD,,,EN 10346:2015,≤0.13,≤0.60,,≤0.045,≤0.100,,,,,,,,≥0.010,,,,,300-480 MPa,≥220 MPa,≥20%,,,,,,Standard Specifications,Structural galvanized steel,Galvanized Steel,,Hot-dip galvanized,,300.0,480.0,390.0,220.0,220.0,220.0,20.0,20.0,20.0,,,,,,
a462a4cb-bbaa-4417-b876-4b8606c6f8db,DD11,,,Oiled,,,Coils,2.4,2.6,600.0,1520.0,,,,20000.0,25000.0,610.0,610.0,,,,280.0,300.0,360.0,DD11,,,EN 10111:2008,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤380 MPa,≥28%,,,,,,Standard Specifications,General cold forming,Cold Rolled Steel,,,,270.0,410.0,340.0,380.0,380.0,380.0,28.0,28.0,28.0,,,,,,
7729084d-fc2d-41d8-a8df-891da74078f1,DC01,,,,,,Sheets,2.0,2.0,1500.0,1500.0,3000.0,3000.0,,17000.0,17000.0,,,,,,,,,DC01,,,EN 10130:2006,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤280 MPa,≥28%,,,,,,Standard Specifications,"Cold forming, deep drawing",Cold Rolled Steel,,,,270.0,410.0,340.0,280.0,280.0,280.0,28.0,28.0,28.0,,,,,,
86008598-05ed-4532-8a70-e8ee8daf3796,DC01,,,,,,Sheets,1.5,1.5,1500.0,1500.0,3000.0,3000.0,,3000.0,3000.0,,,,,,,,,DC01,,,EN 10130:2006,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤280 MPa,≥28%,,,,,,Standard Specifications,"Cold forming, deep drawing",Cold Rolled Steel,,,,270.0,410.0,340.0,280.0,280.0,280.0,28.0,28.0,28.0,,,,,,
06bf89b8-3e0b-4be9-a611-1e656cae34eb,HC420LA,,,,,,Coils,2.5,2.5,600.0,,,,,,,,,,,,,,,HC420LA,,,Automotive specification,≤0.12,0.70-1.60,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,0.015-0.070,≤0.15,≤0.09,,,480-620 MPa,≥420 MPa,≥23%,,,,,,Standard Specifications,Automotive high strength low alloy,HSLA Steel,,,,480.0,620.0,550.0,420.0,420.0,420.0,23.0,23.0,23.0,,,,,,
502b3359-ee17-4ecc-8046-ceb4e6559fb8,DC01,,,,,,Sheets,1.0,1.0,1500.0,1500.0,3000.0,3000.0,,5000.0,5000.0,,,,,,,,,DC01,,,EN 10130:2006,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤280 MPa,≥28%,,,,,,Standard Specifications,"Cold forming, deep drawing",Cold Rolled Steel,,,,270.0,410.0,340.0,280.0,280.0,280.0,28.0,28.0,28.0,,,,,,
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,DD11,,,,,,Sheets,1.5,1.5,,,,,,,,,,,,,,,,DD11,,,EN 10111:2008,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤380 MPa,≥28%,,,,,,Standard Specifications,General cold forming,Cold Rolled Steel,,,,270.0,410.0,340.0,380.0,380.0,380.0,28.0,28.0,28.0,,,,,,
5242c623-abc6-4cc8-a1e3-dde93a899f00,S235JR,,,,,,Sheets,1.5,1.5,,,,,,,,,,,,,,,,S235JR,,,EN 10025-2:2019,≤0.17,≤1.40,≤0.40,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,360-510 MPa,≥235 MPa,≥26%,,,27J at 20°C,,,Standard Specifications,General structural steels,Structural Steel,,,,360.0,510.0,435.0,235.0,235.0,235.0,26.0,26.0,26.0,,,,,,
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,S235JR,,,,,,Sheets,3.5,3.5,,,,,,,,,,,,,,,,S235JR,,,EN 10025-2:2019,≤0.17,≤1.40,≤0.40,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,360-510 MPa,≥235 MPa,≥26%,,,27J at 20°C,,,Standard Specifications,General structural steels,Structural Steel,,,,360.0,510.0,435.0,235.0,235.0,235.0,26.0,26.0,26.0,,,,,,
de734972-0ed4-47d2-85ed-94c639524ef3,DC04,,ZE75/75,Electro-Galvanized (+ZE),,,Sheets,2.0,2.0,,,,,,,,,,,,,,,,DC04,,,EN 10130:2006,≤0.08,≤0.40,,≤0.030,≤0.030,,,,,,,,,,,,,270-350 MPa,≤210 MPa,≥38%,,,,,,Standard Specifications,Extra deep drawing,Cold Rolled Steel,,,,270.0,350.0,310.0,210.0,210.0,210.0,38.0,38.0,38.0,,,,,,
b48a1279-3852-4482-902f-203558c37a33,DC01,,ZE25/25,Electro-Galvanized (+ZE),Conventional surface (A),Phosphated and chemically passivated (PC),Coils,0.7,0.7,,,,,,,40000.0,,,,,,,,,DC01,,,EN 10130:2006,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤280 MPa,≥28%,,,,,,Standard Specifications,"Cold forming, deep drawing",Cold Rolled Steel,,,,270.0,410.0,340.0,280.0,280.0,280.0,28.0,28.0,28.0,,,,,,
02c609c9-52b4-49d5-b6e8-cc14787f1822,DC03,,ZE25/25,Electro-Galvanized (+ZE),Conventional surface (A),Phosphated and chemically passivated (PC),Coils,0.7,0.7,,,,,,,40000.0,,,,,,,,,DC03,,,EN 10130:2006,≤0.10,≤0.45,,≤0.030,≤0.030,,,,,,,,,,,,,270-370 MPa,≤210 MPa,≥34%,,,,,,Standard Specifications,"Deep drawing, complex forming",Cold Rolled Steel,,,,270.0,370.0,320.0,210.0,210.0,210.0,34.0,34.0,34.0,,,,,,
3fe05d73-7de1-4c32-ad94-991ff0ad4290,DC04,,ZE25/25,Electro-Galvanized (+ZE),Conventional surface (A),Phosphated and chemically passivated (PC),Coils,0.7,0.7,,,,,,,40000.0,,,,,,,,,DC04,,,EN 10130:2006,≤0.08,≤0.40,,≤0.030,≤0.030,,,,,,,,,,,,,270-350 MPa,≤210 MPa,≥38%,,,,,,Standard Specifications,Extra deep drawing,Cold Rolled Steel,,,,270.0,350.0,310.0,210.0,210.0,210.0,38.0,38.0,38.0,,,,,,
0e375556-7947-4dc0-a628-d1674e5d1658,S420,,,,,,Coils,3.0,3.0,1500.0,1500.0,,,,,,,,,,,,,,S420,,,EN 10025-3:2019,≤0.20,1.00-1.70,≤0.50,≤0.025,≤0.030,≤0.30,≤0.50,≤0.10,,,,,,,,,,520-680 MPa,≥420 MPa,≥19%,,,,,,Standard Specifications,High strength structural steel,High Strength Steel,,,,520.0,680.0,600.0,420.0,420.0,420.0,19.0,19.0,19.0,,,,,,
82456e41-801e-4f90-9263-6c96d3e72160,S500,,,,,,Coils,3.0,3.0,1500.0,1500.0,,,,,,,,,,,,,,S500,,,EN 10025-3:2019,≤0.20,1.00-1.70,≤0.50,≤0.025,≤0.030,,,,,,,,,,,,,590-770 MPa,≥500 MPa,≥16%,,,,,,Standard Specifications,High strength structural steel,High Strength Steel,,,,590.0,770.0,680.0,500.0,500.0,500.0,16.0,16.0,16.0,,,,,,
2761ad98-baa2-4022-b98c-146a32b16dec,S235JR,,,Normalized (+N),,Oiled (O),Coils,6.1,6.6,1850.0,1900.0,,,,25000.0,25000.0,,,,,,,,,S235JR,,,EN 10025-2:2019,≤0.17,≤1.40,≤0.40,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,360-510 MPa,≥235 MPa,≥26%,,,27J at 20°C,,,Standard Specifications,General structural steels,Structural Steel,,,,360.0,510.0,435.0,235.0,235.0,235.0,26.0,26.0,26.0,,,,,,
985a13af-6aee-4660-83c1-ce5114758d4e,DX51D,,Z100,Hot-dip Galvanized (+Z/+GI),"Minimized spangle, improved surface (MB)",Oiled (O),Coils,1.5,2.0,,,,,,,,,,,,,,,,DX51D,,,EN 10346:2015,≤0.12,≤0.60,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,270-500 MPa,≤350 MPa,≥22%,,,,,,Standard Specifications,Galvanized steel for forming,Galvanized Steel,,Hot-dip galvanized,,270.0,500.0,385.0,350.0,350.0,350.0,22.0,22.0,22.0,,,,,,
9b6f3d40-da34-465e-9211-b0d7b1d19036,DX51,,ZM100,Hot-dip zinc magnesium (+ZM),,,Coils,1.4,1.5,,,,,,300000.0,300000.0,,,,,,,,,DX51,,,EN 10346:2015,≤0.12,≤0.60,,≤0.045,≤0.120,,,,,,,,≥0.010,,,,,270-500 MPa,≤350 MPa,≥22%,,,,,,Standard Specifications,Galvanized steel for forming,Galvanized Steel,,Hot-dip galvanized,,270.0,500.0,385.0,350.0,350.0,350.0,22.0,22.0,22.0,,,,,,
e63d7e85-caef-4f2f-a89b-3889907f7e74,DC01,,ZV25/25,JVD Galvanized (+ZV),,,Coils,0.8,0.8,1250.0,1250.0,,,,,,,,,,,,,,DC01,,,EN 10130:2006,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤280 MPa,≥28%,,,,,,Standard Specifications,"Cold forming, deep drawing",Cold Rolled Steel,,,,270.0,410.0,340.0,280.0,280.0,280.0,28.0,28.0,28.0,,,,,,
2104d59d-0957-4875-b4b1-7f968cb43352,DC01,,ZE25/25,Electro-Galvanized (+ZE),,,Coils,0.8,0.8,1250.0,1250.0,,,,,,,,,,,,,,DC01,,,EN 10130:2006,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤280 MPa,≥28%,,,,,,Standard Specifications,"Cold forming, deep drawing",Cold Rolled Steel,,,,270.0,410.0,340.0,280.0,280.0,280.0,28.0,28.0,28.0,,,,,,
3d594a5b-ff2d-41a2-9c81-ae7a3b055f89,S320GD,,Z275,Hot-dip Galvanized (+Z/+GI),"Minimized spangle, conventional surface (MA)",Chemically passivated (C),Coils,1.5,1.5,,,,,,20000.0,20000.0,,,,,,,,,S320GD,,,EN 10346:2015,≤0.20,≤1.20,,≤0.045,≤0.100,,,,,,,,≥0.010,,,,,390-540 MPa,≥320 MPa,≥17%,,,,,,Standard Specifications,Structural galvanized steel,Galvanized Steel,,Hot-dip galvanized,,390.0,540.0,465.0,320.0,320.0,320.0,17.0,17.0,17.0,,,,,,
b64d3856-e630-4fa6-b5f7-d02e900e510e,S420MC,,,Hot Rolled,,,Plates,12.0,12.0,1500.0,1500.0,,,,50000.0,50000.0,,,,,,,,,S420MC,,,EN 10149-2:2013,≤0.12,≤1.60,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,480-620 MPa,≥420 MPa,≥19%,,,,,,Standard Specifications,Cold forming microalloyed steel,Microalloyed Steel,≤0.22,,,480.0,620.0,550.0,420.0,420.0,420.0,19.0,19.0,19.0,,,,,,
761b9fc9-1000-476c-bebe-6c40dd431b1c,S355MC,,,Hot Rolled,,Pickled and Oiled,Coils,3.0,3.0,200.0,1520.0,,,,,25000.0,610.0,610.0,,,,,,,S355MC,,,EN 10149-2:2013,≤0.12,≤1.50,≤0.50,≤0.015,≤0.025,,,,≤0.20,,,,≥0.015,≤0.15,≤0.09,,,430-550 MPa,≥355 MPa,≥22%,,,,,,Standard Specifications,Cold forming microalloyed steel,Microalloyed Steel,,,,430.0,550.0,490.0,355.0,355.0,355.0,22.0,22.0,22.0,,,,,,
bab67e88-be02-40c9-b3d7-b43a4adff716,S220GD,,ZM100,Hot-dip zinc magnesium (+ZM),,,Coils,1.4,1.5,,,,,,300000.0,300000.0,,,,,,,,,S220GD,,,EN 10346:2015,≤0.13,≤0.60,,≤0.045,≤0.100,,,,,,,,≥0.010,,,,,300-480 MPa,≥220 MPa,≥20%,,,,,,Standard Specifications,Structural galvanized steel,Galvanized Steel,,Hot-dip galvanized,,300.0,480.0,390.0,220.0,220.0,220.0,20.0,20.0,20.0,,,,,,
5190b002-36f4-497b-b1aa-856762facb07,S355JR,,,,,O,Coils,,,,1520.0,,,,,25000.0,610.0,610.0,,,,,570.0,710.0,S355JR,,,EN 10025-2:2019,≤0.24,≤1.60,≤0.55,≤0.035,≤0.035,,,,,,,,,,,,≤0.012,470-630 MPa,≥355 MPa,≥22%,,,27J at 20°C,,,Standard Specifications,General structural steels,Structural Steel,,,,470.0,630.0,550.0,355.0,355.0,355.0,22.0,22.0,22.0,,,,,,
8cc82a77-7371-4839-bca3-86f8d3ea627a,DD11,,,Oiled,,,Coils,,,,1520.0,,,,6000.0,25000.0,610.0,610.0,,,,,,,DD11,,,EN 10111:2008,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤380 MPa,≥28%,,,,,,Standard Specifications,General cold forming,Cold Rolled Steel,,,,270.0,410.0,340.0,380.0,380.0,380.0,28.0,28.0,28.0,,,,,,
e42b147c-89f1-46de-b56e-0f201d709601,DD11,,,Oiled,,Oiled (O),Coils,,,,1520.0,,,,6000.0,25000.0,610.0,610.0,,,,,,,DD11,,,EN 10111:2008,≤0.12,≤0.60,,≤0.045,≤0.045,,,,,,,,,,,,,270-410 MPa,≤380 MPa,≥28%,,,,,,Standard Specifications,General cold forming,Cold Rolled Steel,,,,270.0,410.0,340.0,380.0,380.0,380.0,28.0,28.0,28.0,,,,,,
269d6f1b-faa1-4fae-ab15-e71211c94cff,,,,Galvanized,,,Sheets,0.37,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,,,,Prepainted (PPGI),,,Sheets,0.37,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795c1324-5586-4057-8c6a-574755248aa2,DC04,,,Cold Rolled,,Lightly Oiled (L),Coils,1.2,1.2,,1520.0,,,,20000.0,25000.0,610.0,610.0,,,,,,,DC04,,,EN 10130:2006,≤0.08,≤0.40,,≤0.030,≤0.030,,,,,,,,,,,,,270-350 MPa,≤210 MPa,≥38%,,,,,,Standard Specifications,Extra deep drawing,Cold Rolled Steel,,,,270.0,350.0,310.0,210.0,210.0,210.0,38.0,38.0,38.0,,,,,,
